,Ratio,QoM-pre,QoM-post
90.5,0.5185185185185185,0.07035814973120161,0.06718250811378895
90.6,0.5125,0.06769859525907906,0.06698476859852262
90.7,0.5185185185185185,0.06942306691052558,0.06823162006347917
90.8,0.49382716049382713,0.06715885667406457,0.06495742087454814
90.9,0.5679012345679012,0.07141618668660817,0.06401858369473212
91.0,0.5555555555555556,0.07045423731173717,0.0660518076020364
91.1,0.5365853658536586,0.07060628544154307,0.06686587601176427
91.2,0.5121951219512195,0.07055889231631934,0.0659481609995329
91.3,0.4634146341463415,0.07236538726049044,0.06805473010148572
91.4,0.4634146341463415,0.07150193434826263,0.06824848180960039
91.5,0.5,0.07373512453942052,0.06687185922853955
91.6,0.5487804878048781,0.07102405301798206,0.06648000203393728
91.7,0.5365853658536586,0.07100924558374014,0.06654709092433558
91.8,0.5609756097560976,0.06816844323645127,0.06743787318181915
91.9,0.5487804878048781,0.06653561478752534,0.06898900426388202
92.0,0.5121951219512195,0.06749940218596531,0.07203459471849263
92.1,0.524390243902439,0.06961169515955673,0.07283370276434648
92.2,0.5,0.07034365405364312,0.07122038284477136
92.3,0.5121951219512195,0.07057307846314995,0.07010178264952964
92.4,0.5487804878048781,0.07002031877570208,0.06739010510077201
92.5,0.5365853658536586,0.0687861324020213,0.07007579183725968
92.6,0.5853658536585366,0.07310002259160003,0.06999699475670004
92.7,0.5365853658536586,0.0754932096225619,0.06794945381000615
92.8,0.5853658536585366,0.07450343509337896,0.06727376890602724
92.9,0.5487804878048781,0.07462993165619664,0.06639459176382886
93.0,0.5121951219512195,0.07351430190970226,0.0681093407606845
93.1,0.524390243902439,0.0707664354857868,0.06670658837743677
93.2,0.5308641975308642,0.06742971445105317,0.06750876381214975
93.3,0.5061728395061729,0.06643341913085124,0.06757225177232021
93.4,0.5189873417721519,0.06740055583450277,0.06902060534801084
93.5,0.4936708860759494,0.06718250811378895,0.06542953570415794
93.6,0.45454545454545453,0.06698476859852262,0.06555968425212923
93.7,0.47435897435897434,0.06823162006347917,0.06651023557818228
93.8,0.46835443037974683,0.06495742087454814,0.06327443743627283
93.9,0.3924050632911392,0.06401858369473212,0.06638326266173541
94.0,0.379746835443038,0.0660518076020364,0.0670822735235562
94.1,0.425,0.06686587601176427,0.06656384638632279
94.2,0.3950617283950617,0.0659481609995329,0.06860491750678571
94.3,0.4146341463414634,0.06805473010148572,0.06950013422307089
94.4,0.4634146341463415,0.06824848180960039,0.07304601644150628
94.5,0.4024390243902439,0.06687185922853955,0.0734160191080929
94.6,0.4268292682926829,0.06648000203393728,0.07350592265714906
94.7,0.3902439024390244,0.06654709092433558,0.07468377299891504
94.8,0.43902439024390244,0.06743787318181915,0.07712871349180182
94.9,0.36585365853658536,0.06898900426388202,0.07706808261946521
95.0,0.36585365853658536,0.07203459471849263,0.07647634204571747
95.1,0.4146341463414634,0.07283370276434648,0.078047053076849
95.2,0.32926829268292684,0.07122038284477136,0.0781774139681137
95.3,0.3780487804878049,0.07010178264952964,0.0764208476334588
95.4,0.3780487804878049,0.06739010510077201,0.07984301833803312
95.5,0.34146341463414637,0.07007579183725968,0.07598149852357348
95.6,0.4268292682926829,0.06999699475670004,0.07428138155853878
95.7,0.43902439024390244,0.06794945381000615,0.0752747205405469
95.8,0.4268292682926829,0.06727376890602724,0.07507636551399413
95.9,0.47560975609756095,0.06639459176382886,0.07279497390846666
96.0,0.5365853658536586,0.0681093407606845,0.07466017049932575
96.1,0.47560975609756095,0.06670658837743677,0.07385271366896423
96.2,0.4691358024691358,0.06750876381214975,0.07724798115210649
96.3,0.41975308641975306,0.06757225177232021,0.07676710883283994
96.4,0.425,0.06902060534801084,0.07727609031840732
96.5,0.4,0.06542953570415794,0.07462908968822704
96.6,0.3924050632911392,0.06555968425212923,0.07601148688137496
96.7,0.4177215189873418,0.06651023557818228,0.07764774789295918
96.8,0.4625,0.06327443743627283,0.07828838517784267
96.9,0.475,0.06638326266173541,0.07740065432339172
97.0,0.5125,0.0670822735235562,0.077412302056044
97.1,0.475,0.06656384638632279,0.07572313526163274
97.2,0.5061728395061729,0.06860491750678571,0.0734553420506042
97.3,0.47560975609756095,0.06950013422307089,0.07585058153105445
97.4,0.5,0.07304601644150628,0.07618698404814668
97.5,0.524390243902439,0.0734160191080929,0.07491743599954741
97.6,0.524390243902439,0.07350592265714906,0.07342068842044945
97.7,0.5487804878048781,0.07468377299891504,0.07262649400623244
97.8,0.5365853658536586,0.07712871349180182,0.0738492128569907
97.9,0.5365853658536586,0.07706808261946521,0.07595134214291348
98.0,0.5609756097560976,0.07647634204571747,0.07425853801643759
98.1,0.5609756097560976,0.078047053076849,0.07324802637290259
98.2,0.6097560975609756,0.0781774139681137,0.07334385480016238
98.3,0.5975609756097561,0.0764208476334588,0.07339669417026863
98.4,0.5975609756097561,0.07984301833803312,0.0711375823902813
98.5,0.5609756097560976,0.07598149852357348,0.07103253277224576
98.6,0.573170731707317,0.07428138155853878,0.06913218349162692
98.7,0.573170731707317,0.0752747205405469,0.0694010267523543
98.8,0.5487804878048781,0.07507636551399413,0.06902221782742084
98.9,0.5432098765432098,0.07279497390846666,0.07180645173720362
99.0,0.49382716049382713,0.07466017049932575,0.07023402619120954
99.1,0.49382716049382713,0.07385271366896423,0.07087471332506516
99.2,0.5185185185185185,0.07724798115210649,0.07149528831200493
99.3,0.5185185185185185,0.07676710883283994,0.07093267304994495
99.4,0.5061728395061729,0.07727609031840732,0.07161045956377898
99.5,0.5432098765432098,0.07462908968822704,0.07240752904667014
99.6,0.5308641975308642,0.07601148688137496,0.07598427828623236
99.7,0.5925925925925926,0.07764774789295918,0.07315870292219016
99.8,0.5432098765432098,0.07828838517784267,0.07195644740372924
99.9,0.5308641975308642,0.07740065432339172,0.07063306210567798
100.0,0.5061728395061729,0.077412302056044,0.06886447438728943
100.1,0.5555555555555556,0.07572313526163274,0.06849714154522692
100.2,0.5555555555555556,0.0734553420506042,0.06758052857272781
100.3,0.6172839506172839,0.07585058153105445,0.0668467985064323
100.4,0.654320987654321,0.07618698404814668,0.06698241424916174
100.5,0.5802469135802469,0.07491743599954741,0.06759610723148687
100.6,0.6,0.07342068842044945,0.06593169099182404
100.7,0.55,0.07262649400623244,0.06937144976826502
100.8,0.525,0.0738492128569907,0.06924295685677105
100.9,0.5925925925925926,0.07595134214291348,0.0675123445563903
101.0,0.5625,0.07425853801643759,0.06738288662653125
101.1,0.5875,0.07324802637290259,0.06648591864129233
101.2,0.55,0.07334385480016238,0.0687139315184031
101.3,0.55,0.07339669417026863,0.07036933987775591
101.4,0.5,0.0711375823902813,0.07185684825080878
101.5,0.4567901234567901,0.07103253277224576,0.07556113511048028
101.6,0.43902439024390244,0.06913218349162692,0.07644687101726828
101.7,0.4024390243902439,0.0694010267523543,0.07716012414902243
101.8,0.45121951219512196,0.06902221782742084,0.07817176625369823
101.9,0.4691358024691358,0.07180645173720362,0.07809602249053411
102.0,0.43209876543209874,0.07023402619120954,0.07980748100277549
102.1,0.4444444444444444,0.07087471332506516,0.07959355487026008
102.2,0.41975308641975306,0.07149528831200493,0.07832050867929116
102.3,0.38271604938271603,0.07093267304994495,0.0778749894649989
102.4,0.4,0.07161045956377898,0.07773670233731865
102.5,0.3924050632911392,0.07240752904667014,0.0756105075436902
102.6,0.4050632911392405,0.07598427828623236,0.07303007181192378
102.7,0.43037974683544306,0.07315870292219016,0.0750327449534206
102.8,0.4625,0.07195644740372924,0.07252751223540027
102.9,0.41975308641975306,0.07063306210567798,0.07348604402376915
103.0,0.4125,0.06886447438728943,0.07560961683860354
103.1,0.475,0.06849714154522692,0.0727320022769104
103.2,0.45,0.06758052857272781,0.07401514711275235
103.3,0.475,0.0668467985064323,0.07255542722156104
103.4,0.4125,0.06698241424916174,0.07371804148247109
103.5,0.4375,0.06759610723148687,0.07367707231082464
103.6,0.4810126582278481,0.06593169099182404,0.07228175882379785
103.7,0.46835443037974683,0.06937144976826502,0.07338521053312658
103.8,0.4430379746835443,0.06924295685677105,0.07442432634363846
103.9,0.4375,0.0675123445563903,0.07436971964273983
104.0,0.46153846153846156,0.06738288662653125,0.07521333914772307
104.1,0.4358974358974359,0.06648591864129233,0.07416006802498297
104.2,0.48717948717948717,0.0687139315184031,0.07594883754498707
